Wall time,Step,Value
1602851564.417428,291,0.42243170738220215
1602851565.087558,292,0.42145973443984985
1602851565.725035,293,0.41875553131103516
1602851566.363462,294,0.4099545478820801
1602851567.004899,295,0.41154488921165466
1602851567.678912,296,0.41311579942703247
1602851568.328826,297,0.40382423996925354
1602851568.950993,298,0.4010043144226074
1602851570.111923,299,0.4031899571418762
1602851570.731556,300,0.39978671073913574
1602851571.562067,301,0.3928524851799011
1602851572.235745,302,0.39535266160964966
1602851572.859532,303,0.38613736629486084
1602851573.487787,304,0.3829645812511444
1602851574.104213,305,0.386182576417923
1602851574.727094,306,0.38919609785079956
1602851575.348276,307,0.3765295445919037
1602851575.968971,308,0.37790900468826294
1602851576.584283,309,0.38142216205596924
1602851577.197664,310,0.37126752734184265
1602851578.017447,311,0.3750310242176056
1602851578.632021,312,0.3714737892150879
1602851579.289862,313,0.36598727107048035
1602851579.940127,314,0.3629864454269409
1602851580.56398,315,0.3696770668029785
1602851581.175609,316,0.365276038646698
1602851581.79,317,0.36507898569107056
1602851582.405953,318,0.3564540147781372
1602851583.02272,319,0.35253453254699707
1602851583.633787,320,0.35476362705230713
1602851584.456583,321,0.3456602096557617
1602851585.072268,322,0.34866631031036377
1602851585.690506,323,0.35383954644203186
1602851586.306935,324,0.3477145731449127
1602851586.925674,325,0.34225162863731384
1602851587.537936,326,0.3354342579841614
1602851588.157871,327,0.3465590476989746
1602851588.807661,328,0.3357914686203003
1602851589.462307,329,0.3334181308746338
1602851590.099132,330,0.33195504546165466
1602851590.920146,331,0.3310725688934326
1602851591.5334,332,0.3364136815071106
1602851592.1522,333,0.329067587852478
1602851592.765761,334,0.3214772045612335
1602851593.381727,335,0.3216193914413452
1602851593.993574,336,0.32127845287323
1602851594.606646,337,0.3279880881309509
1602851595.219528,338,0.3232567012310028
1602851595.837643,339,0.31261250376701355
1602851596.451938,340,0.31326526403427124
1602851597.273787,341,0.3157057762145996
1602851597.887489,342,0.3180779814720154
1602851598.514648,343,0.3073021173477173
1602851599.128436,344,0.30264896154403687
1602851599.742482,345,0.3032101094722748
1602851600.357134,346,0.3093593120574951
1602851600.976796,347,0.31140679121017456
1602851601.591586,348,0.30094462633132935
1602851602.716494,349,0.3057708740234375
1602851603.331523,350,0.3069967031478882
1602851604.152125,351,0.3044586777687073
1602851604.764336,352,0.30109620094299316
1602851605.377518,353,0.30113065242767334
1602851605.999501,354,0.2975498139858246
1602851606.618157,355,0.29483282566070557
1602851607.257274,356,0.2961956262588501
1602851607.932399,357,0.2907692790031433
1602851608.567232,358,0.29179587960243225
1602851609.184504,359,0.30163365602493286
1602851609.801321,360,0.28287506103515625
1602851610.616485,361,0.2909758687019348
1602851611.233782,362,0.30000656843185425
1602851611.848953,363,0.2827571928501129
1602851612.461914,364,0.2895391285419464
1602851613.073209,365,0.2958775758743286
1602851613.716338,366,0.2822686433792114
1602851614.367493,367,0.2992689907550812
1602851614.988066,368,0.2811891734600067
1602851615.633827,369,0.3004688620567322
1602851616.313192,370,0.28062039613723755
1602851617.150022,371,0.3007078170776367
1602851617.797951,372,0.2785627543926239
1602851618.488991,373,0.2927844524383545
1602851619.177325,374,0.27597033977508545
1602851619.874212,375,0.2923199534416199
1602851620.557626,376,0.28030645847320557
1602851621.23014,377,0.2836109697818756
1602851621.925108,378,0.2735404968261719
1602851622.542027,379,0.2771764397621155
1602851623.233723,380,0.26763588190078735
1602851624.105567,381,0.27348077297210693
1602851624.771964,382,0.26643890142440796
1602851625.417477,383,0.2762105166912079
1602851626.067789,384,0.27259814739227295
1602851626.731327,385,0.2645520567893982
1602851627.404972,386,0.26214906573295593
1602851628.09954,387,0.2637617886066437
1602851628.787803,388,0.2675938308238983
1602851629.494572,389,0.2643755078315735
1602851630.172484,390,0.2634119987487793
1602851631.083565,391,0.260661780834198
1602851631.725406,392,0.2578635513782501
1602851632.340087,393,0.26127946376800537
1602851632.979686,394,0.25881022214889526
1602851633.636661,395,0.25931745767593384
1602851634.287907,396,0.2566373944282532
1602851634.92808,397,0.25174057483673096
1602851635.603992,398,0.25481435656547546
1602851636.822028,399,0.2611830532550812
1602851637.431039,400,0.2508079409599304
1602851638.252945,401,0.2509249448776245
1602851638.874148,402,0.24689774215221405
1602851639.489112,403,0.25774797797203064
1602851640.099052,404,0.25239354372024536
1602851640.716943,405,0.24031606316566467
1602851641.330763,406,0.24195460975170135
1602851641.986785,407,0.254447340965271
1602851642.616624,408,0.23935189843177795
1602851643.254637,409,0.2556607723236084
1602851643.867105,410,0.23908603191375732
1602851644.688562,411,0.255765438079834
1602851645.299821,412,0.24406297504901886
1602851645.917766,413,0.23753218352794647
1602851646.529424,414,0.243504136800766
1602851647.141597,415,0.24635842442512512
1602851647.753252,416,0.2387627810239792
1602851648.366065,417,0.2372489720582962
1602851648.977719,418,0.24690298736095428
1602851649.586461,419,0.23439112305641174
1602851650.199084,420,0.24115018546581268
1602851651.019383,421,0.23931506276130676
1602851651.629654,422,0.23747846484184265
1602851652.28905,423,0.24587182700634003
1602851652.90474,424,0.23448510468006134
1602851653.526381,425,0.24342747032642365
1602851654.161849,426,0.22939470410346985
1602851654.776173,427,0.237300843000412
1602851655.387092,428,0.23128250241279602
1602851656.003719,429,0.22934141755104065
1602851656.615557,430,0.23028656840324402
1602851657.436111,431,0.22447974979877472
1602851658.046953,432,0.2276259958744049
1602851658.669891,433,0.22504177689552307
1602851659.280732,434,0.226633220911026
1602851659.899855,435,0.23025628924369812
1602851660.511489,436,0.23077169060707092
1602851661.159473,437,0.21872253715991974
1602851661.837617,438,0.2172655612230301
1602851662.504459,439,0.2328566610813141
1602851663.164289,440,0.21656079590320587
1602851664.019758,441,0.22269980609416962
1602851664.688817,442,0.2209160327911377
1602851665.300751,443,0.2122613936662674
1602851665.953254,444,0.21998682618141174
1602851666.569058,445,0.21777121722698212
1602851667.180613,446,0.21631601452827454
1602851667.791096,447,0.22641503810882568
1602851668.402622,448,0.21538886427879333
1602851669.534626,449,0.21321292221546173
1602851670.144279,450,0.21478116512298584
1602851670.961301,451,0.21288779377937317
1602851671.59264,452,0.21959611773490906
1602851672.241008,453,0.21683001518249512
1602851672.855145,454,0.20534920692443848
1602851673.493051,455,0.21154376864433289
1602851674.109699,456,0.20417916774749756
1602851674.723719,457,0.20910418033599854
1602851675.345934,458,0.20548126101493835
1602851676.052274,459,0.20579946041107178
1602851676.691167,460,0.20455913245677948
1602851677.509415,461,0.20002683997154236
1602851678.117702,462,0.20403452217578888
1602851678.726611,463,0.19816440343856812
1602851679.342971,464,0.20028331875801086
1602851679.955579,465,0.20036491751670837
1602851680.56837,466,0.19757220149040222
1602851681.183896,467,0.19903047382831573
1602851681.799164,468,0.20026859641075134
1602851682.424969,469,0.19460372626781464
1602851683.177255,470,0.19457575678825378
1602851684.124475,471,0.2005809247493744
1602851684.806754,472,0.19460459053516388
1602851685.433341,473,0.19521984457969666
1602851686.050983,474,0.19882449507713318
1602851686.66002,475,0.1947331577539444
1602851687.337067,476,0.19414398074150085
1602851687.981638,477,0.19596076011657715
1602851688.632613,478,0.19323769211769104
1602851689.243778,479,0.19036591053009033
1602851689.856933,480,0.19250690937042236
1602851690.680936,481,0.19515259563922882
1602851691.331008,482,0.18991325795650482
1602851691.943934,483,0.18917694687843323
1602851692.559688,484,0.19014276564121246
1602851693.169901,485,0.19336655735969543
1602851693.792614,486,0.19082415103912354
1602851694.410842,487,0.18867531418800354
1602851695.027938,488,0.18713821470737457
1602851695.640959,489,0.19050142168998718
1602851696.255899,490,0.190114825963974
1602851697.117177,491,0.18908116221427917
1602851697.809327,492,0.19003823399543762
1602851698.423481,493,0.18507689237594604
1602851699.039988,494,0.18496975302696228
1602851699.656039,495,0.19037550687789917
1602851700.280695,496,0.1871071457862854
1602851700.891854,497,0.19047558307647705
1602851701.50485,498,0.18696177005767822
1602851702.627502,499,0.1869349181652069
1602851703.238335,500,0.18919146060943604
1602851704.056222,501,0.18726058304309845
1602851704.670987,502,0.1879570037126541
1602851705.290556,503,0.18400952219963074
1602851705.907656,504,0.1834447979927063
1602851706.522844,505,0.18200547993183136
1602851707.137823,506,0.18340663611888885
1602851707.811333,507,0.18142274022102356
1602851708.429981,508,0.18108540773391724
1602851709.043468,509,0.18155500292778015
1602851709.658222,510,0.17940229177474976
1602851710.484115,511,0.18037670850753784
1602851711.100307,512,0.1787702441215515
1602851711.812709,513,0.17922624945640564
1602851712.570396,514,0.1781044602394104
1602851713.28939,515,0.17800363898277283
1602851713.957111,516,0.17759260535240173
1602851714.57941,517,0.17780613899230957
1602851715.190825,518,0.17877647280693054
1602851715.811168,519,0.17720499634742737
1602851716.420559,520,0.17708750069141388
1602851717.230688,521,0.176874041557312
1602851717.846551,522,0.17768466472625732
1602851718.463397,523,0.1781121790409088
1602851719.111174,524,0.17813530564308167
1602851719.717419,525,0.17535050213336945
1602851720.326082,526,0.1771078109741211
1602851720.985787,527,0.17755532264709473
1602851721.596076,528,0.17585024237632751
1602851722.206956,529,0.17517203092575073
1602851722.824109,530,0.17620491981506348
1602851723.641896,531,0.17611785233020782
1602851724.282741,532,0.17415717244148254
1602851724.893347,533,0.17438971996307373
1602851725.501634,534,0.17480558156967163
1602851726.120435,535,0.1741146445274353
1602851726.73237,536,0.17383763194084167
1602851727.342578,537,0.17510706186294556
1602851727.951303,538,0.1758720874786377
1602851728.564524,539,0.17452193796634674
1602851729.175046,540,0.1734732985496521
1602851729.992603,541,0.17288702726364136
1602851730.604206,542,0.17318451404571533
1602851731.250106,543,0.17329511046409607
1602851731.895669,544,0.17308078706264496
1602851732.535095,545,0.1745641976594925
1602851733.167745,546,0.1745322048664093
1602851733.803734,547,0.1725364625453949
1602851734.423973,548,0.17249855399131775
1602851735.575242,549,0.17251022160053253
1602851736.19627,550,0.17562496662139893
1602851737.019926,551,0.1729307770729065
1602851737.63258,552,0.17109240591526031
1602851738.310316,553,0.17165395617485046
1602851739.026044,554,0.1704113781452179
1602851739.701039,555,0.1718079000711441
1602851740.324719,556,0.17013795673847198
1602851741.008395,557,0.17157426476478577
1602851741.72807,558,0.16970194876194
1602851742.345939,559,0.17081458866596222
1602851742.966619,560,0.1699024885892868
1602851743.793971,561,0.16942742466926575
1602851744.409659,562,0.1701996922492981
1602851745.073027,563,0.16920872032642365
1602851745.729942,564,0.1693148910999298
1602851746.497316,565,0.1691386103630066
1602851747.214036,566,0.16891884803771973
1602851747.895999,567,0.1690245419740677
1602851748.524311,568,0.16882523894309998
1602851749.139566,569,0.16885992884635925
1602851749.754234,570,0.1687815636396408
1602851750.568093,571,0.16795365512371063
1602851751.178879,572,0.16824844479560852
1602851751.792065,573,0.16863174736499786
1602851752.406521,574,0.16807225346565247
1602851753.027472,575,0.1674320548772812
1602851753.63547,576,0.16786953806877136
1602851754.249542,577,0.16807013750076294
1602851754.862601,578,0.1675657331943512
1602851755.473188,579,0.16802361607551575
1602851756.083258,580,0.16718751192092896
1602851756.909093,581,0.16716739535331726
1602851757.531004,582,0.16697922348976135
1602851758.173356,583,0.16749787330627441
1602851758.794479,584,0.16821777820587158
1602851759.407961,585,0.16716358065605164
1602851760.108404,586,0.16694486141204834
1602851760.717639,587,0.16728603839874268
1602851761.326161,588,0.1666552722454071
1602851761.94154,589,0.16728554666042328
1602851762.554157,590,0.16675175726413727
1602851763.372476,591,0.16713441908359528
1602851763.9839,592,0.16695250570774078
1602851764.592906,593,0.16643942892551422
1602851765.205605,594,0.16719625890254974
1602851765.81692,595,0.1660928875207901
1602851766.47403,596,0.1660628765821457
1602851767.087052,597,0.16713297367095947
1602851767.698981,598,0.16646286845207214
1602851768.813123,599,0.1667931079864502
1602851769.424661,600,0.16555649042129517
1602851770.244813,601,0.1653190404176712
1602851770.854218,602,0.1650867909193039
1602851771.462953,603,0.16491003334522247
1602851772.073174,604,0.16477268934249878
1602851772.690981,605,0.16479775309562683
1602851773.300995,606,0.16465690732002258
1602851773.908136,607,0.16448655724525452
1602851774.519938,608,0.16443908214569092
1602851775.133158,609,0.1645650863647461
1602851775.743723,610,0.1644318401813507
1602851776.56582,611,0.16420625150203705
1602851777.173385,612,0.16420623660087585
1602851777.786198,613,0.1642616093158722
1602851778.441485,614,0.16421034932136536
1602851779.065641,615,0.1640695035457611
1602851779.68498,616,0.1639997363090515
1602851780.308928,617,0.1638442873954773
1602851780.974437,618,0.16388465464115143
1602851781.644254,619,0.1638782024383545
1602851782.265625,620,0.16373896598815918
1602851783.087673,621,0.16383308172225952
1602851783.697508,622,0.16377709805965424
1602851784.306563,623,0.16378358006477356
1602851784.916869,624,0.16350695490837097
1602851785.583135,625,0.16336357593536377
1602851786.196176,626,0.16356207430362701
1602851786.805887,627,0.16346091032028198
1602851787.464804,628,0.16381525993347168
1602851788.0894,629,0.16354624927043915
1602851788.750655,630,0.1634095013141632
1602851789.569434,631,0.16380706429481506
1602851790.17899,632,0.16334673762321472
1602851790.79333,633,0.16341695189476013
1602851791.401682,634,0.16323211789131165
1602851792.059713,635,0.1631288230419159
1602851792.680714,636,0.16317763924598694
1602851793.306925,637,0.16337400674819946
1602851793.918898,638,0.1630949079990387
1602851794.530052,639,0.16338607668876648
1602851795.139544,640,0.16316774487495422
1602851795.959838,641,0.16310015320777893
1602851796.573713,642,0.16287072002887726
